County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US
"Jackson County, Oklahoma",40065,Rural,24.2,3837,"1133 of 3143"
"Greenwood County, South Carolina",45047,Rural,24.2,11281,"1134 of 3143"
"Grant County, Wisconsin",55043,Rural,24.2,7875,"1135 of 3143"
"Mobile County, Alabama",01097,Urban,24.2,67751,"1136 of 3143"
"Wilkin County, Minnesota",27167,Rural,24.2,1093,"1136 of 3143"
"Mason County, Michigan",26105,Rural,24.2,5155,"1138 of 3143"
"Chowan County, North Carolina",37041,Rural,24.2,2566,"1139 of 3143"
"Columbia County, Wisconsin",55021,Urban,24.2,10098,"1140 of 3143"
"Aransas County, Texas",48007,Urban,24.2,4598,"1141 of 3143"
"Elmore County, Alabama",01051,Urban,24.2,14749,"1142 of 3143"
"Winnebago County, Illinois",17201,Urban,24.1,46766,"1143 of 3143"
"Allegan County, Michigan",26005,Rural,24.1,19875,"1144 of 3143"
"Austin County, Texas",48015,Urban,24.1,5057,"1145 of 3143"
"Kosciusko County, Indiana",18085,Rural,24.1,13034,"1146 of 3143"
"Mercer County, Pennsylvania",42085,Rural,24.1,19021,"1147 of 3143"
"Prince George County, Virginia",51149,Urban,24.1,6657,"1148 of 3143"
"Stark County, Ohio",39151,Urban,24.1,63116,"1149 of 3143"
"Union County, Iowa",19175,Rural,24.1,1983,"1150 of 3143"
"Plymouth County, Iowa",19149,Rural,24.1,4165,"1151 of 3143"
"Pueblo County, Colorado",08101,Urban,24.1,27908,"1152 of 3143"
"Rock Island County, Illinois",17161,Urban,24.1,23770,"1153 of 3143"
"Fayette County, Texas",48149,Rural,24.1,4332,"1154 of 3143"
"Riverside County, California",06065,Urban,24.1,383446,"1155 of 3143"
"Yates County, New York",36123,Rural,24.0,4025,"1156 of 3143"
"Wayne County, Ohio",39169,Rural,24.0,18427,"1157 of 3143"
"Boone County, Illinois",17007,Urban,24.0,8470,"1158 of 3143"
"Mendocino County, California",06045,Rural,24.0,15631,"1159 of 3143"
"Mower County, Minnesota",27099,Rural,24.0,6399,"1160 of 3143"
"Meade County, Kansas",20119,Rural,24.0,619,"1161 of 3143"
"Richland County, North Dakota",38077,Rural,24.0,2563,"1162 of 3143"
"Goshen County, Wyoming",56015,Rural,24.0,2136,"1163 of 3143"
"Cerro Gordo County, Iowa",19033,Rural,24.0,7378,"1164 of 3143"
"Cuming County, Nebraska",31039,Rural,24.0,1467,"1165 of 3143"
"Woodbury County, Iowa",19193,Urban,24.0,16164,"1166 of 3143"
"Brown County, Minnesota",27015,Rural,23.9,4240,"1167 of 3143"
"Franklin County, Kansas",20059,Rural,23.9,4215,"1168 of 3143"
"Hardin County, Kentucky",21093,Urban,23.9,17672,"1169 of 3143"
"Dubois County, Indiana",18037,Rural,23.9,7051,"1170 of 3143"
"Sumner County, Kansas",20191,Urban,23.9,3648,"1171 of 3143"
"Sebastian County, Arkansas",05131,Urban,23.9,20542,"1172 of 3143"
"Bradley County, Tennessee",47011,Urban,23.9,17824,"1173 of 3143"
"Oldham County, Texas",48359,Urban,23.9,311,"1174 of 3143"
"Pope County, Arkansas",05115,Rural,23.9,9801,"1175 of 3143"
"Dickinson County, Michigan",26043,Rural,23.9,4547,"1176 of 3143"
"Sierra County, California",06091,Rural,23.9,537,"1177 of 3143"
"Macon County, Illinois",17115,Urban,23.9,17024,"1178 of 3143"
"Menard County, Texas",48327,Rural,23.9,364,"1179 of 3143"
"Wichita County, Texas",48485,Urban,23.9,19923,"1180 of 3143"
"Morgan County, Alabama",01103,Urban,23.8,20240,"1181 of 3143"
"Franklin County, Virginia",51067,Urban,23.8,9508,"1182 of 3143"
"Geary County, Kansas",20061,Urban,23.8,4661,"1183 of 3143"
"Petroleum County, Montana",30069,Rural,23.8,77,"1184 of 3143"
"Union County, Oregon",41061,Rural,23.8,4194,"1185 of 3143"
"Cheyenne County, Nebraska",31033,Rural,23.8,1583,"1186 of 3143"
"Thomas County, Georgia",13275,Rural,23.8,7415,"1187 of 3143"
"Modoc County, California",06049,Rural,23.8,1551,"1188 of 3143"
"Taney County, Missouri",29213,Rural,23.8,9254,"1189 of 3143"
"Rio Blanco County, Colorado",08103,Rural,23.8,1034,"1190 of 3143"
"Tillamook County, Oregon",41057,Rural,23.8,4928,"1191 of 3143"
"Bryan County, Oklahoma",40013,Rural,23.8,7399,"1192 of 3143"
"Florence County, South Carolina",45041,Urban,23.8,22021,"1193 of 3143"
"Oneida County, Idaho",16071,Rural,23.8,696,"1194 of 3143"
"San Miguel County, New Mexico",35047,Rural,23.8,4701,"1195 of 3143"
"Blaine County, Montana",30005,Rural,23.8,1035,"1196 of 3143"
"Comanche County, Oklahoma",40031,Urban,23.8,18591,"1197 of 3143"
"Kaufman County, Texas",48257,Urban,23.8,22541,"1198 of 3143"
"Mecosta County, Michigan",26107,Rural,23.7,6314,"1199 of 3143"
"Iron County, Wisconsin",55051,Rural,23.7,1172,"1200 of 3143"
"Rice County, Kansas",20159,Rural,23.7,1452,"1201 of 3143"
"Bourbon County, Kansas",20011,Rural,23.7,2229,"1202 of 3143"
"Pacific County, Washington",53049,Rural,23.7,4374,"1203 of 3143"
"Knox County, Ohio",39083,Rural,23.7,9762,"1204 of 3143"
"Curry County, Oregon",41015,Rural,23.7,4532,"1205 of 3143"
"Franklin County, North Carolina",37069,Urban,23.7,11517,"1206 of 3143"
"Deuel County, South Dakota",46039,Rural,23.7,697,"1207 of 3143"
"Lincoln County, Kansas",20105,Rural,23.7,491,"1208 of 3143"
"Ottawa County, Kansas",20143,Rural,23.7,957,"1209 of 3143"
"Granville County, North Carolina",37077,Rural,23.7,10264,"1210 of 3143"
"Matanuska-Susitna Borough, Alaska",02170,Urban,23.7,16882,"1211 of 3143"
"Costilla County, Colorado",08023,Rural,23.7,619,"1212 of 3143"
"Hill County, Montana",30041,Rural,23.7,2367,"1213 of 3143"
"Benton County, Minnesota",27009,Urban,23.6,6450,"1214 of 3143"
"Barber County, Kansas",20007,Rural,23.6,673,"1215 of 3143"
"Barry County, Michigan",26015,Urban,23.6,10438,"1216 of 3143"
"Cherokee County, North Carolina",37039,Rural,23.6,5298,"1217 of 3143"
"Clinton County, Illinois",17027,Urban,23.6,6212,"1218 of 3143"
"Sweet Grass County, Montana",30097,Rural,23.6,612,"1219 of 3143"
"Jackson County, Mississippi",28059,Urban,23.6,23319,"1220 of 3143"
"Twin Falls County, Idaho",16083,Urban,23.6,13725,"1221 of 3143"
"Chisago County, Minnesota",27025,Urban,23.6,9371,"1222 of 3143"
"Cavalier County, North Dakota",38019,Rural,23.6,623,"1223 of 3143"
"Richmond County, Georgia",13245,Urban,23.6,31936,"1224 of 3143"
"Calcasieu Parish, Louisiana",22019,Urban,23.6,32953,"1225 of 3143"
"Golden Valley County, North Dakota",38033,Rural,23.6,301,"1226 of 3143"
"Millard County, Utah",49027,Rural,23.6,1864,"1227 of 3143"
"Dickinson County, Kansas",20041,Rural,23.5,3059,"1228 of 3143"
"Surry County, Virginia",51181,Urban,23.5,1168,"1229 of 3143"
"Santa Cruz County, Arizona",04023,Rural,23.5,7227,"1230 of 3143"
"Putnam County, Illinois",17155,Rural,23.5,971,"1231 of 3143"
"St. Lawrence County, New York",36089,Rural,23.5,16784,"1232 of 3143"
"Baldwin County, Georgia",13009,Rural,23.5,6531,"1233 of 3143"
"Blair County, Pennsylvania",42013,Urban,23.4,20485,"1234 of 3143"
"Cheyenne County, Colorado",08017,Rural,23.4,287,"1235 of 3143"
"Pottawattamie County, Iowa",19155,Urban,23.4,14908,"1236 of 3143"
"Gilmer County, Georgia",13123,Rural,23.4,5492,"1237 of 3143"
"Sterling County, Texas",48431,Rural,23.4,192,"1238 of 3143"
"Frontier County, Nebraska",31063,Rural,23.4,396,"1239 of 3143"
"Ogle County, Illinois",17141,Rural,23.4,8419,"1240 of 3143"
"Burt County, Nebraska",31021,Rural,23.4,1105,"1241 of 3143"
"Golden Valley County, Montana",30037,Rural,23.4,153,"1242 of 3143"
"Fresno County, California",06019,Urban,23.4,146007,"1243 of 3143"
"Hamilton County, New York",36041,Rural,23.4,959,"1244 of 3143"
"Buchanan County, Missouri",29021,Urban,23.3,13383,"1245 of 3143"
"Cooper County, Missouri",29053,Urban,23.3,2698,"1246 of 3143"
"Des Moines County, Iowa",19057,Rural,23.3,6338,"1247 of 3143"
"Coffee County, Tennessee",47031,Rural,23.3,9208,"1248 of 3143"
"Benton County, Iowa",19011,Urban,23.3,4167,"1249 of 3143"
"Marshall County, South Dakota",46091,Rural,23.3,706,"1250 of 3143"
"Cedar County, Nebraska",31027,Rural,23.3,1301,"1251 of 3143"
"Hemphill County, Texas",48211,Rural,23.3,527,"1252 of 3143"
"Fillmore County, Minnesota",27045,Urban,23.3,3395,"1253 of 3143"
"Dougherty County, Georgia",13095,Urban,23.3,12859,"1254 of 3143"
"Jasper County, South Carolina",45053,Urban,23.3,4973,"1255 of 3143"
"Crook County, Wyoming",56011,Rural,23.3,1179,"1256 of 3143"
"Cooke County, Texas",48097,Rural,23.3,6645,"1257 of 3143"
"Davison County, South Dakota",46035,Rural,23.3,3161,"1258 of 3143"
"Baylor County, Texas",48023,Rural,23.3,574,"1259 of 3143"
"Augusta County, Virginia",51015,Urban,23.3,13281,"1260 of 3143"
"Clay County, Texas",48077,Urban,23.2,1751,"1261 of 3143"
"Bourbon County, Kentucky",21017,Urban,23.2,3233,"1262 of 3143"
"Catoosa County, Georgia",13047,Urban,23.2,11044,"1263 of 3143"
"Muscatine County, Iowa",19139,Rural,23.2,6719,"1264 of 3143"
"Chippewa County, Wisconsin",55017,Urban,23.2,10937,"1265 of 3143"
"Fannin County, Georgia",13111,Rural,23.2,4608,"1266 of 3143"
"Floyd County, Virginia",51063,Urban,23.2,2711,"1267 of 3143"
"Franklin City, Virginia",51620,Rural,23.2,1312,"1268 of 3143"
"Lyman County, South Dakota",46085,Rural,23.2,537,"1269 of 3143"
"Moore County, Tennessee",47127,Rural,23.2,1109,"1270 of 3143"
"Genesee County, New York",36037,Rural,23.2,9683,"1271 of 3143"
"Osborne County, Kansas",20141,Rural,23.1,582,"1272 of 3143"
"White County, Georgia",13311,Rural,23.1,4607,"1273 of 3143"
"Washburn County, Wisconsin",55129,Rural,23.1,2913,"1274 of 3143"
"Asotin County, Washington",53003,Urban,23.1,3734,"1275 of 3143"
"Smith County, Kansas",20183,Rural,23.1,610,"1276 of 3143"
"Manitowoc County, Wisconsin",55071,Rural,23.1,13532,"1277 of 3143"
"Lincoln County, Wyoming",56023,Rural,23.1,3050,"1278 of 3143"
"West Baton Rouge Parish, Louisiana",22121,Urban,23.1,4484,"1279 of 3143"
"Martin County, Minnesota",27091,Rural,23.1,3283,"1280 of 3143"
"Jackson County, Minnesota",27063,Rural,23.1,1656,"1281 of 3143"
"Sumter County, South Carolina",45085,Urban,23.1,16040,"1282 of 3143"
"Osage County, Missouri",29151,Urban,23.1,2088,"1283 of 3143"
"Mineral County, West Virginia",54057,Rural,23.1,4470,"1284 of 3143"
"Washington County, Illinois",17189,Rural,23.1,2284,"1285 of 3143"
"Garden County, Nebraska",31069,Rural,23.1,299,"1286 of 3143"
"Bastrop County, Texas",48021,Urban,23.0,14887,"1287 of 3143"
"Harper County, Oklahoma",40059,Rural,23.0,515,"1288 of 3143"
"Lincoln County, Washington",53043,Rural,23.0,1813,"1289 of 3143"
"Taylor County, Kentucky",21217,Rural,23.0,3915,"1290 of 3143"
"Washington County, Maryland",24043,Urban,23.0,24874,"1291 of 3143"
"Cayuga County, New York",36011,Rural,23.0,12723,"1292 of 3143"
"Franklin County, Pennsylvania",42055,Urban,23.0,25297,"1293 of 3143"
"Kingsbury County, South Dakota",46077,Rural,23.0,811,"1294 of 3143"
"Kleberg County, Texas",48273,Rural,23.0,3953,"1295 of 3143"
"Habersham County, Georgia",13137,Rural,22.9,7183,"1296 of 3143"
"Peach County, Georgia",13225,Urban,22.9,4123,"1297 of 3143"
"Kingfisher County, Oklahoma",40073,Rural,22.9,2262,"1298 of 3143"
"Cheatham County, Tennessee",47021,Urban,22.9,6717,"1299 of 3143"
"Swift County, Minnesota",27151,Rural,22.9,1562,"1300 of 3143"
"Saginaw County, Michigan",26145,Urban,22.9,29984,"1301 of 3143"
"Callahan County, Texas",48059,Urban,22.9,2224,"1302 of 3143"
"Chippewa County, Michigan",26033,Rural,22.9,5861,"1303 of 3143"
"Lafayette County, Missouri",29107,Urban,22.9,5228,"1304 of 3143"
"Eastland County, Texas",48133,Rural,22.9,2779,"1305 of 3143"
"Lebanon County, Pennsylvania",42075,Urban,22.9,22505,"1306 of 3143"
"Fillmore County, Nebraska",31059,Rural,22.8,945,"1307 of 3143"
"Natchitoches Parish, Louisiana",22069,Rural,22.8,5117,"1308 of 3143"
"Sevier County, Utah",49041,Rural,22.8,3107,"1309 of 3143"
"Pepin County, Wisconsin",55091,Rural,22.8,1204,"1310 of 3143"
"Grayson County, Texas",48181,Urban,22.8,21115,"1311 of 3143"
"Androscoggin County, Maine",23001,Urban,22.8,17642,"1312 of 3143"
"Bristol City, Virginia",51520,Urban,22.8,2804,"1313 of 3143"
"Henry County, Iowa",19087,Rural,22.8,3177,"1314 of 3143"
"Shelby County, Iowa",19165,Rural,22.8,1898,"1315 of 3143"
"Slope County, North Dakota",38087,Rural,22.8,147,"1316 of 3143"
"Chambers County, Texas",48071,Urban,22.8,6821,"1317 of 3143"
"Genesee County, Michigan",26049,Urban,22.8,63838,"1318 of 3143"
"Salem County, New Jersey",34033,Urban,22.8,10320,"1319 of 3143"
"Whitley County, Indiana",18183,Urban,22.8,5412,"1320 of 3143"
"Renville County, North Dakota",38075,Urban,22.8,346,"1321 of 3143"
"Iowa County, Iowa",19095,Rural,22.8,2629,"1322 of 3143"
"Jefferson County, Missouri",29099,Urban,22.8,35925,"1323 of 3143"
"Harnett County, North Carolina",37085,Rural,22.8,20149,"1324 of 3143"
"Polk County, Wisconsin",55095,Rural,22.8,7507,"1325 of 3143"
"Shasta County, California",06089,Urban,22.8,29327,"1326 of 3143"
"Clarion County, Pennsylvania",42031,Rural,22.7,5796,"1327 of 3143"
"Lincoln County, Colorado",08073,Rural,22.7,956,"1328 of 3143"
"Rooks County, Kansas",20163,Rural,22.7,807,"1329 of 3143"
"Garfield County, Oklahoma",40047,Urban,22.7,9223,"1330 of 3143"
"Beaver County, Oklahoma",40007,Rural,22.7,768,"1331 of 3143"
"Cambria County, Pennsylvania",42021,Urban,22.7,21729,"1332 of 3143"
"Mountrail County, North Dakota",38061,Rural,22.7,1394,"1333 of 3143"
"Oglethorpe County, Georgia",13221,Urban,22.7,2388,"1334 of 3143"
"Monroe County, Iowa",19135,Rural,22.7,1179,"1335 of 3143"
"Okanogan County, Washington",53047,Rural,22.6,6764,"1336 of 3143"
"Monroe County, Michigan",26115,Urban,22.6,24842,"1337 of 3143"
"Ringgold County, Iowa",19159,Rural,22.6,726,"1338 of 3143"
"Mason County, Kentucky",21161,Rural,22.6,2681,"1339 of 3143"
"Tooele County, Utah",49045,Urban,22.6,9828,"1340 of 3143"
"Newton County, Georgia",13217,Urban,22.6,16502,"1341 of 3143"
"King and Queen County, Virginia",51097,Urban,22.6,1174,"1342 of 3143"
"Camden County, Missouri",29029,Rural,22.6,7453,"1343 of 3143"
"Labette County, Kansas",20099,Rural,22.6,3078,"1344 of 3143"
"Young County, Texas",48503,Rural,22.5,2801,"1345 of 3143"
"Washington County, Kansas",20201,Rural,22.5,869,"1346 of 3143"
"Nelson County, Kentucky",21179,Urban,22.5,7262,"1347 of 3143"
"Manistee County, Michigan",26101,Rural,22.5,4294,"1348 of 3143"
"Hamilton County, Iowa",19079,Rural,22.5,2385,"1349 of 3143"
"Newberry County, South Carolina",45071,Rural,22.5,5842,"1350 of 3143"
"Cottonwood County, Minnesota",27033,Rural,22.5,1756,"1351 of 3143"
"Florence County, Wisconsin",55037,Rural,22.5,812,"1352 of 3143"
"Thayer County, Nebraska",31169,Rural,22.5,791,"1353 of 3143"
"Wibaux County, Montana",30109,Rural,22.5,174,"1354 of 3143"
"Cheboygan County, Michigan",26031,Rural,22.5,4492,"1355 of 3143"
"Nueces County, Texas",48355,Urban,22.5,52118,"1356 of 3143"
"Jackson County, Michigan",26075,Urban,22.5,25209,"1357 of 3143"
"Lenawee County, Michigan",26091,Rural,22.5,15621,"1358 of 3143"
"Jones County, Iowa",19105,Urban,22.5,3365,"1359 of 3143"
"Burleson County, Texas",48051,Urban,22.5,2893,"1360 of 3143"
"Houston County, Alabama",01069,Urban,22.5,16619,"1361 of 3143"
"Gem County, Idaho",16045,Urban,22.5,3042,"1362 of 3143"
"Morgan County, Illinois",17137,Rural,22.4,5210,"1363 of 3143"
"Cloud County, Kansas",20029,Rural,22.4,1337,"1364 of 3143"
"Green Lake County, Wisconsin",55047,Rural,22.4,3028,"1365 of 3143"
"Warren County, Virginia",51187,Urban,22.4,6423,"1366 of 3143"
"Gregg County, Texas",48183,Urban,22.4,17967,"1367 of 3143"
"San Bernardino County, California",06071,Urban,22.4,311380,"1368 of 3143"
"Prairie County, Montana",30079,Rural,22.4,213,"1369 of 3143"
"Marshall County, Kentucky",21157,Rural,22.4,5154,"1370 of 3143"
"Day County, South Dakota",46037,Rural,22.4,876,"1371 of 3143"
"Pope County, Minnesota",27121,Rural,22.4,1841,"1372 of 3143"
"Foster County, North Dakota",38031,Rural,22.4,548,"1373 of 3143"
"Mahaska County, Iowa",19123,Rural,22.4,3294,"1374 of 3143"
"Yancey County, North Carolina",37199,Rural,22.4,3098,"1375 of 3143"
"Gogebic County, Michigan",26053,Rural,22.4,2533,"1376 of 3143"
"Herkimer County, New York",36043,Urban,22.4,9619,"1377 of 3143"
"Grant County, Oklahoma",40053,Rural,22.4,626,"1378 of 3143"
"Lincoln County, Minnesota",27081,Rural,22.4,882,"1379 of 3143"
"Clinton County, Missouri",29049,Urban,22.3,3272,"1380 of 3143"
"Sanpete County, Utah",49039,Rural,22.3,3871,"1381 of 3143"
"Floyd County, Georgia",13115,Urban,22.3,14618,"1382 of 3143"
"Caroline County, Virginia",51033,Rural,22.3,4799,"1383 of 3143"
"Avery County, North Carolina",37011,Rural,22.3,3034,"1384 of 3143"
"Howard County, Nebraska",31093,Urban,22.3,1003,"1385 of 3143"
"Fond du Lac County, Wisconsin",55039,Urban,22.3,16282,"1386 of 3143"
"Rapides Parish, Louisiana",22079,Urban,22.3,19250,"1387 of 3143"
"Claiborne County, Mississippi",28021,Rural,22.3,1141,"1388 of 3143"
"Toole County, Montana",30101,Rural,22.3,792,"1389 of 3143"
"Roger Mills County, Oklahoma",40129,Rural,22.3,526,"1390 of 3143"
"Broadwater County, Montana",30007,Urban,22.3,1131,"1391 of 3143"
"Bowie County, Texas",48037,Urban,22.3,13951,"1392 of 3143"
"Wayne County, Utah",49055,Rural,22.2,390,"1393 of 3143"
"McLean County, North Dakota",38055,Rural,22.2,1578,"1394 of 3143"
"Dixon County, Nebraska",31051,Rural,22.2,830,"1395 of 3143"
"Van Buren County, Michigan",26159,Rural,22.2,11614,"1396 of 3143"
"Hickman County, Kentucky",21105,Rural,22.2,728,"1397 of 3143"
"Cheyenne County, Kansas",20023,Rural,22.2,418,"1398 of 3143"
"Harrison County, Texas",48203,Urban,22.2,10112,"1399 of 3143"
"Newton County, Missouri",29145,Urban,22.2,8916,"1400 of 3143"
"Coffey County, Kansas",20031,Rural,22.2,1308,"1401 of 3143"
"Medina County, Texas",48325,Urban,22.2,7706,"1402 of 3143"
"Lemhi County, Idaho",16059,Rural,22.2,1334,"1403 of 3143"
"Sumter County, Georgia",13261,Rural,22.2,4100,"1404 of 3143"
"Colorado County, Texas",48089,Rural,22.2,3107,"1405 of 3143"
"Atchison County, Kansas",20005,Rural,22.2,2225,"1406 of 3143"
"Faulk County, South Dakota",46049,Rural,22.2,319,"1407 of 3143"
"Franklin County, New York",36033,Rural,22.1,7493,"1408 of 3143"
"Seneca County, New York",36099,Rural,22.1,5404,"1409 of 3143"
"Wahkiakum County, Washington",53069,Rural,22.1,764,"1410 of 3143"
"Carroll County, Iowa",19027,Rural,22.1,3117,"1411 of 3143"
"Platte County, Wyoming",56031,Rural,22.1,1454,"1412 of 3143"
"Grady County, Oklahoma",40051,Urban,22.1,8306,"1413 of 3143"
"Burnett County, Wisconsin",55013,Rural,22.1,2835,"1414 of 3143"
"Grenada County, Mississippi",28043,Rural,22.1,3231,"1415 of 3143"
"Colfax County, New Mexico",35007,Rural,22.1,2038,"1416 of 3143"
"Spencer County, Kentucky",21215,Urban,22.1,2987,"1417 of 3143"
"Pierce County, Nebraska",31139,Rural,22.1,1090,"1418 of 3143"
"Linn County, Kansas",20107,Urban,22.1,1519,"1419 of 3143"
"Wasco County, Oregon",41065,Rural,22.0,4138,"1420 of 3143"
"Calhoun County, Michigan",26025,Urban,22.0,20161,"1421 of 3143"
"Mitchell County, North Carolina",37121,Rural,22.0,2457,"1422 of 3143"
"Lawrence County, Pennsylvania",42073,Urban,22.0,13617,"1423 of 3143"
"Wood County, West Virginia",54107,Urban,22.0,13289,"1424 of 3143"
"Scott County, Illinois",17171,Rural,22.0,762,"1425 of 3143"
"Siskiyou County, California",06093,Rural,22.0,7069,"1426 of 3143"
"San Benito County, California",06069,Urban,22.0,9305,"1427 of 3143"
"Marion County, Florida",12083,Urban,22.0,61989,"1428 of 3143"
"Waseca County, Minnesota",27161,Rural,22.0,2875,"1429 of 3143"
"Marengo County, Alabama",01091,Rural,22.0,2854,"1430 of 3143"
"Converse County, Wyoming",56009,Rural,22.0,2086,"1431 of 3143"
"Nash County, North Carolina",37127,Urban,21.9,14524,"1432 of 3143"
"Gilliam County, Oregon",41021,Rural,21.9,324,"1433 of 3143"
"Saline County, Nebraska",31151,Rural,21.9,2044,"1434 of 3143"
"Huntington County, Indiana",18069,Rural,21.9,5563,"1435 of 3143"
"Campbell County, Wyoming",56005,Rural,21.9,6629,"1436 of 3143"
"Ashland County, Ohio",39005,Rural,21.9,7840,"1437 of 3143"
"Brooke County, West Virginia",54009,Urban,21.9,3559,"1438 of 3143"
"Pembina County, North Dakota",38067,Rural,21.9,1085,"1439 of 3143"
"Gray County, Kansas",20069,Rural,21.9,767,"1440 of 3143"
"Roane County, Tennessee",47145,Urban,21.9,8713,"1441 of 3143"
"Hamlin County, South Dakota",46057,Rural,21.9,792,"1442 of 3143"
"Pondera County, Montana",30073,Rural,21.9,901,"1443 of 3143"
"Norman County, Minnesota",27107,Rural,21.9,976,"1444 of 3143"
"Amherst County, Virginia",51009,Urban,21.9,4879,"1445 of 3143"
"Bowman County, North Dakota",38011,Rural,21.8,442,"1446 of 3143"
"Franklin County, Tennessee",47051,Rural,21.8,6445,"1447 of 3143"
